hidden_layers,activation,learning_rate,batch_size,epochs,val_accuracy,test_accuracy
"[512, 256, 128]",relu,0.01,32,150,0.611336032388664,0.6218623481781377
"[512, 256, 128]",relu,0.01,32,100,0.5890688259109311,0.5919028340080972
"[128, 64, 32]",relu,0.01,64,100,0.5870445344129555,0.5497975708502024
"[128, 64]",relu,0.01,64,150,0.5850202429149798,0.5668016194331984
"[256, 128, 64]",relu,0.01,32,150,0.5809716599190283,0.5975708502024292
"[64, 32]",relu,0.01,32,50,0.5769230769230769,0.5538461538461539
"[64, 32]",relu,0.01,32,150,0.5728744939271255,0.5716599190283401
"[256, 128]",tanh,0.01,32,150,0.5708502024291497,0.5522267206477732
"[256, 128]",relu,0.01,64,100,0.5708502024291497,0.5506072874493927
"[256, 128]",relu,0.01,32,100,0.5668016194331984,0.5684210526315789
"[256, 128, 64]",relu,0.01,64,100,0.5668016194331984,0.551417004048583
"[128, 64]",relu,0.01,32,50,0.5668016194331984,0.5368421052631579
"[128, 128]",tanh,0.01,64,50,0.5647773279352226,0.5279352226720648
"[128, 64, 32]",relu,0.01,64,150,0.562753036437247,0.5724696356275304
"[512, 256, 128]",tanh,0.01,32,50,0.562753036437247,0.5417004048582996
"[64, 32]",tanh,0.01,64,50,0.562753036437247,0.5174089068825911
"[128, 128]",relu,0.01,64,100,0.5607287449392713,0.5433198380566802
"[128, 64]",relu,0.01,32,100,0.5607287449392713,0.5748987854251012
"[128, 64, 32]",relu,0.01,64,50,0.5607287449392713,0.5481781376518219
"[512, 256, 128]",tanh,0.001,32,100,0.5607287449392713,0.5028340080971659
"[256, 128, 64]",tanh,0.01,32,100,0.5587044534412956,0.545748987854251
"[512, 256, 128]",relu,0.001,32,150,0.5587044534412956,0.5336032388663967
"[128, 64]",tanh,0.01,32,50,0.5587044534412956,0.5384615384615384
"[64, 32]",tanh,0.01,32,150,0.5587044534412956,0.545748987854251
"[64, 32]",tanh,0.01,64,150,0.5566801619433198,0.5441295546558704
"[64, 32]",tanh,0.01,32,100,0.5566801619433198,0.5449392712550607
"[512, 256, 128]",tanh,0.01,32,150,0.5566801619433198,0.5635627530364372
